Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Auto_number__c,Currency__c,ExtId__c,ISO_Code__c,Scale__c
a0q1I000001M8ajQAC,0051I000000r0mDQAQ,False,XAG,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001811,Silverÿ(OneÿTroy Ounce),&0AQZHqM000000I1q0a,XAG,
a0q1I000001M8akQAC,0051I000000r0mDQAQ,False,XAU,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001812,Goldÿ(OneÿTroy Ounce),&KAQaHqM000000I1q0a,XAU,
a0q1I000001M8alQAC,0051I000000r0mDQAQ,False,XBA,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001813,European Composite Unit(Eurco) (Bond Market Unit),&KAQbHqM000000I1q0a,XBA,
a0q1I000001M8amQAC,0051I000000r0mDQAQ,False,XBB,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001814,European Monetary Unit(E.M.U.-6) (Bond Market Unit),&KAQcHqM000000I1q0a,XBB,
a0q1I000001M8anQAC,0051I000000r0mDQAQ,False,XBC,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001815,European Unit Of Account 9(E.U.A.-9) (Bond Market Unit),&KAQdHqM000000I1q0a,XBC,
a0q1I000001M8aoQAC,0051I000000r0mDQAQ,False,XBD,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001816,European Unit Of Account 17(E.U.A.-17) (Bond Market Unit),&KAQeHqM000000I1q0a,XBD,
a0q1I000001M8apQAC,0051I000000r0mDQAQ,False,XCD,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001817,East Caribbean Dollar,&KAQfHqM000000I1q0a,XCD,
a0q1I000001M8aqQAC,0051I000000r0mDQAQ,False,XDR,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001818,Special Drawing Rights,&KAQgHqM000000I1q0a,XDR,
a0q1I000001M8arQAC,0051I000000r0mDQAQ,False,XFU,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001819,Uic Franc(Special Settlement Currency),&KAQhHqM000000I1q0a,XFU,
a0q1I000001M8asQAC,0051I000000r0mDQAQ,False,XOF,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001820,Cfa Franc Bceao,&KAQiHqM000000I1q0a,XOF,
a0q1I000001M8atQAC,0051I000000r0mDQAQ,False,XPD,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001821,Palladiumÿ(Onetroy Ounce),&KAQjHqM000000I1q0a,XPD,
a0q1I000001M8auQAC,0051I000000r0mDQAQ,False,XPF,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001822,Cfp Francÿ(Franc Pacifique),&KAQkHqM000000I1q0a,XPF,
a0q1I000001M8avQAC,0051I000000r0mDQAQ,False,TWD,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001823,New Taiwan Dollar,&0AQLHqM000000I1q0a,TWD,
a0q1I000001M8awQAC,0051I000000r0mDQAQ,False,TZS,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001824,Tanzanian Shilling,&0AQMHqM000000I1q0a,TZS,
a0q1I000001M8axQAC,0051I000000r0mDQAQ,False,UAH,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,0051I000000r0mDQAQ,2017-12-07T17:51:16.000+0000,,,0000001825,Ukrainian Hryvnia,&0AQNHqM000000I1q0a,UAH,
